name,status,ms,synonym,related,positive,negative,summary
نماد دعبیدح,A,1,"دعبیدح,ح. داروسازی‌ دکترعبیدی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفارا,A,1,"دفارا,داروسازی‌ فارابی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفاراح,A,1,"دفاراح,ح. داروسازی‌ فارابی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفرا,A,1,"دفرا,فرآورده‌های‌ تزریقی‌ ایران‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دفراح,A,1,"دفراح,ح. فرآورده‌های‌ تزریقی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکوثر,A,1,"دکوثر,داروسازی‌ کوثر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکوثرح,A,1,"دکوثرح,ح. داروسازی‌ کوثر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکیمی,A,1,"دکیمی,کیمیدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دکیمیح,A,1,"دکیمیح,ح. کیمیدارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلر,A,1,"دلر,داروسازی‌ اکسیر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلرح,A,1,"دلرح,ح. داروسازی‌ اکسیر",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلقما,A,1,"دلقما,دارویی‌ لقمان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دلقماح,A,1,"دلقماح,ح. دارویی‌ لقمان‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیران,A,1,"دیران,ایران‌دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیرانح,A,1,"دیرانح,ح. ‌ایران‌دارو",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد دیسشپ,A,1,"دیسشپ,دیس شپ",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد رانفور,A,1,"رانفور,خدمات‌انفورماتیک‌",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رانفورح,A,1,"رانفورح,ح. خدمات‌انفورماتیک‌",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتاپ,A,1,"رتاپ,تجارت الکترونیک پارسیان",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتاپح,A,1,"رتاپح,ح. تجارت الکترونیک پارسیان",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رتکو,A,1,"رتکو,کنترل‌خوردگی‌تکین‌کو",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد رتکوح,A,1,"رتکوح,ح. کنترل‌خوردگی‌تکین‌کو",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد رکیش,A,1,"رکیش,کارت اعتباری ایران کیش",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رکیشح,A,1,"رکیشح,ح. کارت اعتباری ایران کیش",ارتباطات و فناوری اطلاعات,"بورس,سهام,شاخص,قرارداد",,رایانه و فعالیت‌های وابسته به آن
نماد رمپنا,A,1,"رمپنا,گروه مپنا (سهامی عام)",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد رمپناح,A,1,"رمپناح,ح. گروه مپنا (سهامی عام)",,"بورس,سهام,شاخص,قرارداد",,خدمات فنی و مهندسی
نماد زمگسا,A,1,"زمگسا,کشاورزی‌ ودامپروی‌ مگسال‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,زراعت و خدمات وابسته
نماد زمگساح,A,1,"زمگساح,ح. کشاورزی‌ ودامپروی‌ مگسال‌",صنعت غذا و کشاورزی,"بورس,سهام,شاخص,قرارداد",,زراعت و خدمات وابسته
نماد سابیک,A,1,"سابیک,سیمان آبیک",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد ساذری,A,1,"ساذری,آذریت‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد ساذریح,A,1,"ساذریح,ح. آذریت‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد ساراب,A,1,"ساراب,سیمان‌ داراب‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سارابح,A,1,"سارابح,ح. سیمان‌ داراب‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد ساربیل,A,1,"ساربیل,سیمان آرتا اردبیل","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد ساربیلح,A,1,"ساربیلح,ح. سیمان آرتا اردبیل","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد ساروم,A,1,"ساروم,سیمان‌ارومیه‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سارومح,A,1,"سارومح,ح. سیمان‌ارومیه‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد ساوه,A,1,"ساوه,سیمان‌سفیدساوه‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سایرا,A,1,"سایرا,ایرانیت‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سایراح,A,1,"سایراح,ح. ایرانیت‌",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سبجنو,A,1,"سبجنو,سیمان‌ بجنورد","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سبجنوح,A,1,"سبجنوح,ح. سیمان‌ بجنورد","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سبهان,A,1,"سبهان,سیمان‌ بهبهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سبهانح,A,1,"سبهانح,ح. سیمان‌ بهبهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سپاها,A,1,"سپاها,سیمان‌سپاهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سپاهاح,A,1,"سپاهاح,ح. سیمان‌سپاهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سپرمی,A,1,"سپرمی,پرمیت",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد ستران,A,1,"ستران,سیمان‌ تهران‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سترانح,A,1,"سترانح,ح. سیمان‌ تهران‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سخاش,A,1,"سخاش,سیمان‌خاش‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سخاشح,A,1,"سخاشح,ح. سیمان‌خاش‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سخزر,A,1,"سخزر,سیمان‌ خزر","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سخزرح,A,1,"سخزرح,ح. سیمان‌ خزر","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سخوز,A,1,"سخوز,سیمان خوزستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سدشت,A,1,"سدشت,صنایع سیمان دشتستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سدشتح,A,1,"سدشتح,ح. صنایع سیمان دشتستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سدور,A,1,"سدور,سیمان‌ دورود","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سدورح,A,1,"سدورح,ح. سیمان‌ دورود","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سرود,A,2,"سرود,سیمان‌شاهرود,سیمان,شاهرود","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد","سرود ملی,پخش","سیمان, آهک و گچ"
نماد سرودح,A,1,"سرودح,ح. سیمان‌شاهرود","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سشرق,A,1,"سشرق,سیمان‌ شرق‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سشرقح,A,1,"سشرقح,ح. سیمان‌ شرق‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سشمال,A,1,"سشمال,سیمان‌ شمال‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سشمالح,A,1,"سشمالح,ح. سیمان‌ شمال‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سصفها,A,1,"سصفها,سیمان‌اصفهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سصفهاح,A,1,"سصفهاح,ح. سیمان‌اصفهان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سصوفی,A,1,"سصوفی,سیمان‌ صوفیان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سصوفیح,A,1,"سصوفیح,ح. سیمان‌ صوفیان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سغدیر,A,1,"سغدیر,توسعه سرمایه و صنعت غدیر","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سغرب,A,1,"سغرب,سیمان‌غرب‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سغربح,A,1,"سغربح,ح. سیمان‌غرب‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سفار,A,1,"سفار,سیمان‌فارس‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سفارح,A,1,"سفارح,ح. سیمان‌فارس‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سفارس,A,1,"سفارس,سیمان فارس و خوزستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سفارسح,A,1,"سفارسح,ح. سیمان فارس و خوزستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سفارود,A,1,"سفارود,کارخانه‌فارسیت‌درود",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سفارودح,A,1,"سفارودح,ح. کارخانه‌فارسیت‌درود",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سفاسیت,A,1,"سفاسیت,فارسیت‌ اهواز",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سفاسیتح,A,1,"سفاسیتح,ح. فارسیت‌ اهواز",صنعت فلزات و معادن,"بورس,سهام,شاخص,قرارداد",,سایر محصولات کانی غیرفلزی
نماد سفانو,A,1,"سفانو,سیمان فارس نو","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سقاین,A,1,"سقاین,سیمان‌ قائن‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سقاینح,A,1,"سقاینح,ح. سیمان‌ قائن‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکارون,A,1,"سکارون,سیمان‌ کارون‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکارونح,A,1,"سکارونح,ح. سیمان‌ کارون‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکرد,A,1,"سکرد,سیمان کردستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکردح,A,1,"سکردح,ح. سیمان کردستان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکرما,A,1,"سکرما,سیمان‌ کرمان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سکرماح,A,1,"سکرماح,ح. سیمان‌ کرمان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سمازن,A,1,"سمازن,سیمان‌مازندران‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سمازنح,A,1,"سمازنح,ح. سیمان‌مازندران‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سنیر,A,1,"سنیر,سیمان‌ سفید نی‌ریز","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سنیرح,A,1,"سنیرح,ح. سیمان‌ سفیدنی‌ریز","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سهرمز,A,1,"سهرمز,سیمان‌هرمزگان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سهرمزح,A,1,"سهرمزح,ح. سیمان‌هرمزگان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سهگمت,A,1,"سهگمت,سیمان‌هگمتان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سهگمتح,A,1,"سهگمتح,ح. سیمان‌هگمتان‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سیدکو,A,1,"سیدکو,سرمایه گذاری توسعه صنایع سیمان","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سیلام,A,1,"سیلام,سیمان‌ ایلام‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد سیلامح,A,1,"سیلامح,ح. سیمان‌ ایلام‌","صنعت فلزات و معادن,صنعت راه و ساختمان","بورس,سهام,شاخص,قرارداد",,"سیمان, آهک و گچ"
نماد شاراک,A,1,"شاراک,پتروشیمی شازند",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شاراکح,A,1,"شاراکح,ح. پتروشیمی شازند",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شاملا,A,1,"شاملا,معدنی‌ املاح‌ ایران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شاملاح,A,1,"شاملاح,ح. معدنی‌ املاح‌ ایران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شبریز,A,1,"شبریز,پالایش نفت تبریز",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شبریزح,A,1,"شبریزح,ح. پالایش نفت تبریز",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شبندر,A,1,"شبندر,پالایش نفت بندرعباس",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شبهرن,A,1,"شبهرن,نفت‌ بهران‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شبهرنح,A,1,"شبهرنح,ح. نفت‌ بهران‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شپارس,A,1,"شپارس,بین‌ المللی‌ محصولات‌ پارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپارسح,A,1,"شپارسح,ح. بین‌ المللی‌محصولات پارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپاکسا,A,1,"شپاکسا,پاکسان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپاکساح,A,1,"شپاکساح,ح. پاکسان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپترو,A,1,"شپترو,پتروشیمی‌ آبادان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپتروح,A,1,"شپتروح,ح. پتروشیمی‌ آبادان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپدیس,A,1,"شپدیس,پتروشیمی پردیس",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپدیسح,A,1,"شپدیسح,ح. پتروشیمی پردیس",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپلی,A,1,"شپلی,پلی‌اکریل‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپلیح,A,1,"شپلیح,ح. پلی‌اکریل‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپمچا,A,1,"شپمچا,پارس‌ پامچال‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپمچاح,A,1,"شپمچاح,ح. پارس‌ پامچال‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شپنا,A,1,"شپنا,پالایش نفت اصفهان",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شپناح,A,1,"شپناح,ح. پالایش نفت اصفهان",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شتران,A,1,"شتران,پالایش نفت تهران",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شتهران,A,1,"شتهران,تهران‌ شیمی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد شتهرانح,A,1,"شتهرانح,ح. تهران‌ شیمی‌",صنعت ابزار پزشکی و دارو,"بورس,سهام,شاخص,قرارداد",,مواد و محصولات دارویی
نماد شتولی,A,1,"شتولی,تولی‌پرس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شتولیح,A,1,"شتولیح,ح. تولی‌پرس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شجی,A,1,"شجی,شرکت نفت جی",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شخارک,A,1,"شخارک,پتروشیمی‌ خارک‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شخارکح,A,1,"شخارکح,ح. پتروشیمی‌ خارک‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شدوص,A,1,"شدوص,دوده‌ صنعتی‌ پارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شدوصح,A,1,"شدوصح,ح. دوده‌ صنعتی‌ پارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شرنگی,A,1,"شرنگی,صنعتی‌ رنگین‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شرنگیح,A,1,"شرنگیح,ح. صنعتی رنگین",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شزنگ,A,1,"شزنگ,تجهیزنیروی‌زنگان‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شزنگح,A,1,"شزنگح,ح. تجهیزنیروی‌زنگان‌",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شسپا,A,1,"شسپا,نفت سپاهان",صنعت نفت و گاز,"بورس,سهام,شاخص,قرارداد",,"فراورده‌های نفتی, کک و سوخت هسته‌ای"
نماد شسم,A,1,"شسم,تولید سموم‌ علف‌ کش",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شسمح,A,1,"شسمح,ح. تولید سموم‌ علف‌ کش",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شسینا,A,1,"شسینا,صنایع‌شیمیایی‌سینا",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شسیناح,A,1,"شسیناح,ح. صنایع‌شیمیایی‌سینا",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شصفها,A,1,"شصفها,پتروشیمی‌ اصفهان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شصفهاح,A,1,"شصفهاح,ح. پتروشیمی‌ اصفهان‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفارا,A,1,"شفارا,پتروشیمی‌فارابی‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفاراح,A,1,"شفاراح,ح. پتروشیمی‌فارابی‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفارس,A,1,"شفارس,صنایع‌ شیمیایی‌ فارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفارسح,A,1,"شفارسح,ح. صنایع‌ شیمیایی‌ فارس‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفن,A,1,"شفن,پتروشیمی فناوران",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شفنح,A,1,"شفنح,ح. پتروشیمی فناوران",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شکربن,A,1,"شکربن,کربن‌ ایران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شکربنح,A,1,"شکربنح,ح. کربن‌ ایران‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شکف,A,1,"شکف,کف‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شکفح,A,1,"شکفح,ح. کف‌",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
نماد شکلر,A,1,"شکلر,نیروکلر",صنعت شیمیایی و حلال‌ها,"بورس,سهام,شاخص,قرارداد",,محصولات شیمیایی
